gas,ppm,MQ2,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9
co,200,5,4.3,3.9,9,0.6,65,1.7
,400,4,4,3.2,8.5,0.38,62,1.25
,800,3.5,3.9,3,8,0.255,60,0.86
,1000,3.1,3.8,2.95,7.8,0.22,58,0.8
,2000,2.5,3.75,2.7,7.5,0.155,49,0.55
,3000,2.1,3.65,2.5,7.3,0.12,44,0.45
,5000,1.9,3.6,2.45,7,0.08,41,0.35
,10000,1.5,3.5,2.35,6.5,0.35,40,0.25
CH4,200,3,1.8,0.95,2.6,13,55,3.08
,400,2.3,1.4,0.74,1.8,12.5,48,2.6
,800,1.9,1.1,0.56,1.6,12,46,1.9
,1000,1.8,1,0.51,1.4,12,44,1.8
,2000,1.4,0.79,0.4,1.05,10.5,40,1.5
,3000,1.2,0.7,0.35,0.9,9.5,37,1.25
,5000,0.95,0.56,0.29,0.7,8,32,0.93
,10000,0.7,0.45,0.2,0.55,7,29.5,0.7
LPG,200,1.7,2.7,0.7,2,7.4,32,2.1
,400,1.1,2,0.49,1.45,6.7,26,1.6
,800,0.86,1.6,0.4,1.2,6.1,21,1.2
,1000,0.8,1.6,0.36,1,6,20,1
,2000,0.58,1.3,0.28,0.75,5.5,17,0.7
,3000,0.47,1.1,0.24,0.65,5.25,16,0.6
,5000,0.37,0.9,0.19,0.51,4.5,15,0.47
,10000,0.26,0.75,0.155,0.39,4,14,0.33
alcohol,200,2.9,4,3.6,8,15,25,
,400,2,3.8,3,7.1,14,16,
,800,1.8,3.7,2.8,6.4,13.5,12,
,1000,1.7,3.6,2.7,6.1,13.5,11,
,2000,1.3,3.4,2.3,5.5,13,7,
,3000,1.1,3.35,2.05,5,13,5.2,
,5000,0.9,3.2,1.9,4.7,12.36666667,4,
,10000,0.66,3.05,1.5,4.3,11.9952381,2.3,
H2,200,2,3.8,1.8,5.8,0.47,8.5,
,400,1.5,3.3,1.3,4.4,0.28,3.5,
,800,1.2,2.99,1.1,3.7,0.175,1.5,
,1000,1,2.9,1,3.3,0.15,1,
,2000,0.71,2.5,0.83,2.8,0.088,0.39,
,3000,0.6,2.4,0.78,2.5,0.0655,0.21,
,5000,0.48,2.1,0.74,2.3,0.035,0.095,
,10000,0.34,1.9,0.68,2.05,0.025,0.029,
propane,200,1.75,,,,,,
,400,1.1,,,,,,
,800,0.9,,,,,,
,1000,0.8,,,,,,
,2000,0.6,,,,,,
,3000,0.5,,,,,,
,5000,0.39,,,,,,
,10000,0.28,,,,,,
smoke,,,3.9,,,,,
,,,3.7,,,,,
,,,3.6,,,,,
,,,3.5,,,,,
,,,3.2,,,,,
,,,3.1,,,,,
,,,2.9,,,,,
,,,2.6,,,,,
